Film	Part	Release date	Runtime (min)	Languages	Director	Producers	Studios	Distributor
Dhurandhar	Part 1	5 Dec 2025	214	Hindi (theatrical); later dubbed/re-release limited	Aditya Dhar	Jyoti Deshpande, Aditya Dhar, Lokesh Dhar	Jio Studios, B62 Studios	Jio Studios (India & overseas partners)
Dhurandhar: The Revenge	Part 2	19 Mar 2026	192	Hindi, Telugu, Tamil, Kannada, Malayalam	Aditya Dhar	Jyoti Deshpande, Aditya Dhar, Lokesh Dhar	Jio Studios, B62 Studios	Jio Studios (pan-India & overseas partners)
